X,Y,CCN,REPORT_DAT,START_DATE,END_DATE,BLOCK,OFFENSE,METHOD,SHIFT,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,BID,XBLOCK,YBLOCK,LATITUDE,LONGITUDE,OBJECTID,OCTO_RECORD_ID
400591.799999997,132715.09,26012881,2026/01/30 01:41:48+00,2026/01/29 23:04:00+00,2026/01/30 00:48:00+00,2400 - 2500 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,THEFT F/AUTO,OTHERS,EVENING,8,8A,7,703,Cluster 37,007401 1,007401,Precinct 119,ANACOSTIA,400591.8,132715.09,38.8622527489,-76.9931812237,893650157,
400735.042099997,135618.731800001,26002413,2026/01/06 19:13:12+00,2025/09/08 16:50:00+00,2026/01/06 18:00:00+00,100 - 199 BLOCK OF 11TH STREET SE,THEFT F/AUTO,OTHERS,DAY,6,6B,1,107,Cluster 26,006700 3,006700,Precinct 88,,400735.042142635,135618.731771285,38.8884097996,-76.991527669,893650170,
401740.890000001,139931.899999999,26011258,2026/01/25 01:43:24+00,2026/01/21 15:52:00+00,2026/01/22 02:00:00+00,1700 - 1799 BLOCK OF RHODE ISLAND AVENUE NE,THEFT/OTHER,OTHERS,EVENING,5,5B,5,504,Cluster 22,009301 3,009301,Precinct 70,,401740.89,139931.9,38.9272628922,-76.9799230111,893650282,
405127.159999996,137046.300000001,26014319,2026/02/02 16:00:09+00,2026/02/02 05:00:00+00,,4200 - 4399 BLOCK OF NANNIE HELEN BURROUGHS AVENUE NE,THEFT F/AUTO,OTHERS,DAY,7,7C,6,602,Cluster 30,007803 1,007803,Precinct 99,,405127.16,137046.3,38.9012552122,-76.9408920666,893650283,
400070.780000001,142950.02,26017843,2026/02/10 00:47:37+00,2026/02/09 22:05:00+00,2026/02/09 23:00:00+00,5300 - 5399 BLOCK OF SOUTH DAKOTA AVENUE NE,THEFT/OTHER,OTHERS,EVENING,5,5A,4,406,Cluster 19,009508 3,009508,Precinct 66,,400070.78,142950.02,38.9544527146,-76.9991834112,893650284,
397162.060000002,140182.43,26019697,2026/02/13 22:09:19+00,2026/02/13 19:32:00+00,2026/02/13 19:39:00+00,3100 - 3299 BLOCK OF 14TH STREET NW,THEFT/OTHER,OTHERS,EVENING,1,1A,3,302,Cluster 2,002802 1,002802,Precinct 39,,397162.06,140182.43,38.9295168861,-77.0327298633,893650285,
393473.229999997,144062.600000001,26020224,2026/02/14 21:47:20+00,2026/02/14 19:52:00+00,2026/02/14 21:28:00+00,5523 - 5599 BLOCK OF CONNECTICUT AVENUE NW,THEFT/OTHER,OTHERS,EVENING,3,3/4G,2,201,Cluster 10,001100 1,001100,Precinct 32,,393473.23,144062.6,38.9644508729,-77.0753099146,893650286,
398099.020000003,138206.329999998,26003276,2026/01/08 15:58:31+00,2026/01/08 13:39:00+00,2026/01/08 13:41:00+00,1600 - 1623 BLOCK OF 7TH STREET NW,THEFT/OTHER,OTHERS,DAY,2,2G,3,307,Cluster 7,004901 2,004901,Precinct 18,,398099.02,138206.33,38.911718063,-77.0219184648,893650365,
401180.789999999,135402.460000001,26005836,2026/01/13 21:02:39+00,2026/01/13 18:15:00+00,2026/01/13 19:20:00+00,1320 - 1399 BLOCK OF SOUTH CAROLINA AVENUE SE,THEFT F/AUTO,OTHERS,EVENING,6,6B,1,107,Cluster 26,006700 1,006700,Precinct 88,,401180.79,135402.46,38.886461056,-76.9863902082,893650366,
397162.43,141096.859999999,26006675,2026/01/15 07:26:42+00,2026/01/15 06:00:00+00,2026/01/15 06:35:00+00,3714 - 3813 BLOCK OF 14TH STREET NW,THEFT F/AUTO,OTHERS,MIDNIGHT,4,4C,4,404,Cluster 18,002504 1,002504,Precinct 47,,397162.43,141096.86,38.9377543489,-77.0327293772,893650512,
397880.909999996,146022.5,26019804,2026/02/14 05:40:03+00,2026/02/13 00:00:00+00,2026/02/13 21:15:00+00,7500 - 7599 BLOCK OF 8TH STREET NW,MOTOR VEHICLE THEFT,OTHERS,MIDNIGHT,4,4B,4,401,Cluster 17,010300 2,010300,Precinct 63,,397880.91,146022.5,38.9821278031,-77.0244574366,893650541,
394260.969999999,143206.960000001,26420132,2026/01/10 01:46:05+00,2026/01/08 17:20:00+00,2026/01/08 18:03:00+00,5113 - 5199 BLOCK OF 34TH STREET NW,THEFT F/AUTO,OTHERS,EVENING,3,3F,2,203,Cluster 12,001301 2,001301,Precinct 138,,394260.97,143206.96,38.9567485519,-77.066213325,893650542,
397628.829999998,140648.850000001,26015672,2026/02/05 03:42:43+00,2026/02/05 01:15:00+00,2026/02/05 01:21:00+00,3500 - 3599 BLOCK OF 10TH STREET NW,ROBBERY,OTHERS,EVENING,1,1A,4,408,Cluster 2,002900 1,002900,Precinct 42,,397628.83,140648.85,38.9337199236,-77.027348233,893650546,
400131.810000002,132949.079999998,26017658,2026/02/09 16:14:06+00,2026/02/08 02:00:00+00,2026/02/08 18:00:00+00,600 - 999 BLOCK OF HOWARD ROAD SE,THEFT F/AUTO,OTHERS,DAY,8,8A,7,703,Cluster 37,007401 1,007401,Precinct 119,ANACOSTIA,400131.81,132949.08,38.8643608174,-76.9984812277,893650547,
400233.439999998,136609.579999998,26019078,2026/02/12 18:00:42+00,2026/02/12 14:30:00+00,2026/02/12 15:00:00+00,600 - 699 BLOCK OF F STREET NE,MOTOR VEHICLE THEFT,OTHERS,DAY,6,6C,1,104,Cluster 25,008302 1,008302,Precinct 84,,400233.44,136609.58,38.8973360032,-76.9973089592,893650548,
402835.479999997,139007.07,26018136,2026/02/10 16:36:35+00,2026/02/10 02:30:00+00,2026/02/10 03:45:00+00,2300 - 3099 BLOCK OF V STREET NE,THEFT F/AUTO,OTHERS,DAY,5,5C,5,503,Cluster 24,011100 1,011100,Precinct 71,,402835.48,139007.07,38.9189288774,-76.9673033629,893650549,
400033.719999999,128396.300000001,26002423,2026/01/06 21:36:58+00,2026/01/06 18:28:00+00,2026/01/06 20:50:00+00,4600 - 4699 BLOCK OF 6TH STREET SE,ROBBERY,OTHERS,EVENING,8,8E,7,706,Cluster 39,009811 3,009811,Precinct 125,,400033.72,128396.3,38.8233473605,-76.9996116866,893651069,
401267.840000004,138053.030000001,26017953,2026/02/10 03:03:43+00,2026/02/10 01:05:00+00,2026/02/10 02:45:00+00,1103 - 1199 BLOCK OF MOUNT OLIVET ROAD NE,THEFT/OTHER,OTHERS,EVENING,5,5D,5,506,Cluster 23,008804 2,008804,Precinct 76,,401267.84,138053.03,38.9103382258,-76.9853819774,893651080,
398640.189999998,137185.18,26008009,2026/01/18 02:21:54+00,2026/01/18 01:20:00+00,2026/01/18 01:55:00+00,300 - 399 BLOCK OF K STREET NW,THEFT/OTHER,OTHERS,EVENING,6,6E,1,101,Cluster 8,004702 2,004702,Precinct 1,MOUNT VERNON TRIANGLE CID,398640.19,137185.18,38.9025201936,-77.0156767058,893651086,
404955.729999997,133499.489999998,26022332,2026/02/19 14:16:12+00,2026/02/14 05:00:00+00,2026/02/16 05:00:00+00,4210 - 4299 BLOCK OF FORT DUPONT STREET SE,THEFT F/AUTO,OTHERS,DAY,7,7B,6,605,Cluster 34,009902 1,009902,Precinct 110,,404955.73,133499.49,38.869305183,-76.9428939575,893651499,
397228.789999999,137406.960000001,26022334,2026/02/19 19:09:03+00,2026/01/17 14:00:00+00,2026/02/19 14:14:00+00,1100 - 1199 BLOCK OF 14TH STREET NW,MOTOR VEHICLE THEFT,OTHERS,DAY,2,2C,2,209,Cluster 8,010100 3,010100,Precinct 17,DOWNTOWN,397228.79,137406.96,38.9045147494,-77.031949066,893651500,
397162.490000002,141258.390000001,26022109,2026/02/19 05:02:33+00,2026/02/18 23:25:00+00,2026/02/18 23:26:00+00,3900 - 3999 BLOCK OF 14TH STREET NW,THEFT/OTHER,OTHERS,MIDNIGHT,4,4C,4,404,Cluster 18,002504 2,002504,Precinct 47,,397162.49,141258.39,38.9392094588,-77.0327293531,893651503,
397868.289999999,135116.460000001,26021474,2026/02/17 19:32:11+00,2026/02/16 17:59:00+00,2026/02/17 19:15:00+00,400 - 999 BLOCK OF L'ENFANT PLAZA SW,THEFT F/AUTO,OTHERS,DAY,6,6D,1,103,Cluster 9,010202 6,010202,Precinct 142,SOUTHWEST,397868.29,135116.46,38.8838828674,-77.0245692132,893651504,
394459.18,141888.039999999,26022325,2026/02/19 13:50:31+00,2026/02/19 11:55:00+00,2026/02/19 12:10:00+00,4227 - 4399 BLOCK OF CONNECTICUT AVENUE NW,THEFT/OTHER,OTHERS,DAY,3,3F,2,203,Cluster 12,001303 1,001303,Precinct 34,,394459.18,141888.04,38.9448686362,-77.0639158491,893651505,
397897.270000003,140906.870000001,26022273,2026/02/19 06:50:30+00,2026/02/19 05:57:00+00,2026/02/19 06:30:00+00,3650 - 3699 BLOCK OF GEORGIA AVENUE NW,THEFT/OTHER,OTHERS,MIDNIGHT,1,1E,4,409,Cluster 2,003200 1,003200,Precinct 43,,397897.27,140906.87,38.9360449286,-77.0242529321,893651512,
399345.920000002,138303.129999999,26420729,2026/02/20 03:02:01+00,2026/02/17 19:00:00+00,2026/02/17 20:00:00+00,10 - 99 BLOCK OF R STREET NE,THEFT/OTHER,OTHERS,EVENING,5,5F,5,502,Cluster 21,008701 1,008701,Precinct 75,,399345.92,138303.13,38.9125918826,-77.0075416916,893651513,
393225.159999996,139903.91,26022576,2026/02/20 00:36:30+00,2026/02/19 11:30:00+00,2026/02/19 21:00:00+00,3900 - 3979 BLOCK OF WATSON PLACE NW,THEFT/OTHER,OTHERS,EVENING,3,3B,2,204,Cluster 14,000703 2,000703,Precinct 28,,393225.16,139903.91,38.9269863572,-77.0781312291,893651516,
